read_id,original_length,post_quality_length,post_adapter_length,final_length,quality_bases_removed,adapter_bases_removed,total_bases_removed,status
SRR13921545.176,100,100,100,100,0,0,0,retained
SRR13921545.177,100,100,100,100,0,0,0,retained
SRR13921545.178,100,100,100,100,0,0,0,retained
SRR13921545.179,100,100,100,100,0,0,0,retained
SRR13921545.180,100,100,100,100,0,0,0,retained
SRR13921545.181,100,100,100,100,0,0,0,retained
SRR13921545.182,100,100,100,100,0,0,0,retained
SRR13921545.183,100,100,100,100,0,0,0,retained
SRR13921545.184,100,100,100,100,0,0,0,retained
SRR13921545.185,100,100,100,100,0,0,0,retained
SRR13921545.186,100,100,100,100,0,0,0,retained
SRR13921545.187,100,100,100,100,0,0,0,retained
SRR13921545.188,100,100,100,100,0,0,0,retained
SRR13921545.189,100,100,100,100,0,0,0,retained
SRR13921545.190,100,100,100,100,0,0,0,retained
SRR13921545.191,100,100,100,100,0,0,0,retained
SRR13921545.192,100,100,100,100,0,0,0,retained
SRR13921545.193,100,100,100,100,0,0,0,retained
SRR13921545.194,100,100,100,100,0,0,0,retained
SRR13921545.195,100,100,100,100,0,0,0,retained
SRR13921545.196,100,100,100,100,0,0,0,retained
SRR13921545.197,100,100,100,100,0,0,0,retained
SRR13921545.198,100,100,100,100,0,0,0,retained
SRR13921545.199,100,100,100,100,0,0,0,retained
SRR13921545.200,100,100,100,100,0,0,0,retained
SRR13921545.201,100,100,100,100,0,0,0,retained
SRR13921545.202,100,100,100,100,0,0,0,retained
SRR13921545.203,100,100,100,100,0,0,0,retained
SRR13921545.204,100,100,100,100,0,0,0,retained
SRR13921545.205,100,100,82,82,0,18,18,retained
SRR13921545.206,100,100,100,100,0,0,0,retained
SRR13921545.207,100,100,100,100,0,0,0,retained
SRR13921545.208,100,100,100,100,0,0,0,retained
SRR13921545.209,100,100,100,100,0,0,0,retained
SRR13921545.210,100,100,100,100,0,0,0,retained
SRR13921545.211,100,100,100,100,0,0,0,retained
SRR13921545.212,100,100,100,100,0,0,0,retained
SRR13921545.213,100,100,100,100,0,0,0,retained
SRR13921545.214,100,100,100,100,0,0,0,retained
SRR13921545.215,100,100,100,100,0,0,0,retained
SRR13921545.216,100,100,100,100,0,0,0,retained
SRR13921545.217,100,100,100,100,0,0,0,retained
SRR13921545.218,100,100,100,100,0,0,0,retained
SRR13921545.219,100,100,100,100,0,0,0,retained
SRR13921545.220,100,100,100,100,0,0,0,retained
SRR13921545.221,100,100,100,100,0,0,0,retained
SRR13921545.222,100,100,100,100,0,0,0,retained
